* Measurement data measured by REW V5.19
* Source: ?ó??? (Realtek High Definition Audio, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2019-7-30 12:56:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: 七月 30 12:56:35
* Smoothing: 1/6 octave
* Frequency Step: 0.36621654 Hz
* Start Frequency: 1.8310547 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
194.827, 54.214, -17.192
195.193, 54.205, -17.211
195.560, 54.196, -17.231
195.926, 54.188, -17.250
196.292, 54.179, -17.269
196.658, 54.170, -17.288
197.024, 54.161, -17.307
197.391, 54.153, -17.325
197.757, 54.144, -17.344
198.123, 54.136, -17.362
198.489, 54.127, -17.380
198.856, 54.119, -17.398
199.222, 54.111, -17.416
199.588, 54.102, -17.434
199.954, 54.094, -17.451
200.320, 54.086, -17.468
200.687, 54.078, -17.486
201.053, 54.069, -17.503
201.419, 54.061, -17.519
201.785, 54.053, -17.536
202.152, 54.045, -17.552
202.518, 54.037, -17.569
202.884, 54.029, -17.585
203.250, 54.021, -17.601
203.616, 54.013, -17.617
203.983, 54.005, -17.632
204.349, 53.997, -17.648
204.715, 53.990, -17.663
205.081, 53.982, -17.678
205.447, 53.974, -17.693
205.814, 53.966, -17.708
206.180, 53.958, -17.723
206.546, 53.950, -17.737
206.912, 53.943, -17.751
207.279, 53.935, -17.766
207.645, 53.927, -17.780
208.011, 53.919, -17.793
208.377, 53.911, -17.807
208.743, 53.903, -17.820
209.110, 53.896, -17.834
209.476, 53.888, -17.847
209.842, 53.880, -17.860
210.208, 53.872, -17.873
210.574, 53.864, -17.886
210.941, 53.857, -17.898
211.307, 53.849, -17.911
211.673, 53.841, -17.923
212.039, 53.833, -17.935
212.406, 53.825, -17.947
212.772, 53.817, -17.958
213.138, 53.809, -17.970
213.504, 53.801, -17.982
213.870, 53.793, -17.993
214.237, 53.785, -18.004
214.603, 53.777, -18.015
214.969, 53.769, -18.026
215.335, 53.761, -18.036
215.702, 53.753, -18.047
216.068, 53.745, -18.057
216.434, 53.737, -18.068
216.800, 53.729, -18.078
217.166, 53.721, -18.087
217.533, 53.713, -18.097
217.899, 53.705, -18.107
218.265, 53.697, -18.116
218.631, 53.689, -18.126
218.997, 53.681, -18.135
219.364, 53.673, -18.144
219.730, 53.665, -18.153
220.096, 53.657, -18.161
220.462, 53.649, -18.170
220.829, 53.641, -18.178
221.195, 53.632, -18.187
221.561, 53.624, -18.195
221.927, 53.616, -18.203
222.293, 53.608, -18.211
222.660, 53.600, -18.218
223.026, 53.592, -18.226
223.392, 53.584, -18.233
223.758, 53.576, -18.241
224.124, 53.568, -18.248
224.491, 53.559, -18.255
224.857, 53.551, -18.262
225.223, 53.543, -18.269
225.589, 53.535, -18.275
225.956, 53.527, -18.282
226.322, 53.519, -18.288
226.688, 53.511, -18.294
227.054, 53.503, -18.300
227.420, 53.495, -18.306
227.787, 53.487, -18.312
228.153, 53.479, -18.318
228.519, 53.471, -18.323
228.885, 53.463, -18.329
229.252, 53.455, -18.334
229.618, 53.447, -18.339
229.984, 53.439, -18.344
230.350, 53.431, -18.349
230.716, 53.423, -18.354
231.083, 53.415, -18.359
231.449, 53.407, -18.363
231.815, 53.399, -18.367
232.181, 53.391, -18.372
232.547, 53.383, -18.376
232.914, 53.376, -18.380
233.280, 53.368, -18.383
233.646, 53.360, -18.387
234.012, 53.352, -18.391
234.379, 53.344, -18.394
234.745, 53.336, -18.397
235.111, 53.328, -18.400
235.477, 53.321, -18.403
235.843, 53.313, -18.406
236.210, 53.305, -18.409
236.576, 53.297, -18.411
236.942, 53.290, -18.414
237.308, 53.282, -18.416
237.674, 53.274, -18.418
238.041, 53.266, -18.420
238.407, 53.259, -18.422
238.773, 53.251, -18.423
239.139, 53.243, -18.425
239.506, 53.236, -18.426
239.872, 53.228, -18.427
240.238, 53.220, -18.428
240.604, 53.213, -18.429
240.970, 53.205, -18.430
241.337, 53.198, -18.431
241.703, 53.190, -18.431
242.069, 53.182, -18.432
242.435, 53.175, -18.432
242.802, 53.167, -18.432
243.168, 53.160, -18.432
243.534, 53.152, -18.431
243.900, 53.145, -18.431
244.266, 53.137, -18.431
244.633, 53.130, -18.430
244.999, 53.122, -18.429
245.365, 53.115, -18.428
245.731, 53.107, -18.427
246.097, 53.100, -18.426
246.464, 53.092, -18.425
246.830, 53.085, -18.424
247.196, 53.077, -18.422
247.562, 53.070, -18.421
247.929, 53.063, -18.419
248.295, 53.055, -18.417
248.661, 53.048, -18.416
249.027, 53.041, -18.414
249.393, 53.033, -18.412
249.760, 53.026, -18.410
250.126, 53.019, -18.407
250.492, 53.012, -18.405
250.858, 53.004, -18.403
251.225, 52.997, -18.401
251.591, 52.990, -18.398
251.957, 52.983, -18.396
252.323, 52.976, -18.393
252.689, 52.968, -18.391
253.056, 52.961, -18.388
253.422, 52.954, -18.386
253.788, 52.947, -18.383
254.154, 52.940, -18.380
254.520, 52.933, -18.378
254.887, 52.926, -18.375
255.253, 52.919, -18.372
255.619, 52.912, -18.369
255.985, 52.905, -18.366
256.352, 52.898, -18.364
256.718, 52.892, -18.361
257.084, 52.885, -18.358
257.450, 52.878, -18.355
257.816, 52.871, -18.352
258.183, 52.864, -18.349
258.549, 52.858, -18.346
258.915, 52.851, -18.344
259.281, 52.844, -18.341
259.647, 52.837, -18.338
260.014, 52.831, -18.335
260.380, 52.824, -18.332
260.746, 52.818, -18.329
261.112, 52.811, -18.326
261.479, 52.804, -18.323
261.845, 52.798, -18.320
262.211, 52.791, -18.318
262.577, 52.785, -18.315
262.943, 52.778, -18.312
263.310, 52.772, -18.309
263.676, 52.765, -18.306
264.042, 52.759, -18.303
264.408, 52.753, -18.300
264.775, 52.746, -18.297
265.141, 52.740, -18.294
265.507, 52.733, -18.291
265.873, 52.727, -18.288
266.239, 52.721, -18.285
266.606, 52.714, -18.282
266.972, 52.708, -18.279
267.338, 52.702, -18.275
267.704, 52.696, -18.272
268.070, 52.689, -18.269
268.437, 52.683, -18.266
268.803, 52.677, -18.262
269.169, 52.671, -18.259
269.535, 52.664, -18.256
269.902, 52.658, -18.252
270.268, 52.652, -18.249
270.634, 52.646, -18.245
271.000, 52.640, -18.242
271.366, 52.633, -18.238
271.733, 52.627, -18.234
272.099, 52.621, -18.230
272.465, 52.615, -18.227
272.831, 52.609, -18.223
273.198, 52.603, -18.219
273.564, 52.597, -18.215
273.930, 52.591, -18.211
274.296, 52.584, -18.206
274.662, 52.578, -18.202
275.029, 52.572, -18.198
275.395, 52.566, -18.193
275.761, 52.560, -18.189
276.127, 52.554, -18.184
276.493, 52.548, -18.180
276.860, 52.542, -18.175
277.226, 52.536, -18.170
277.592, 52.530, -18.166
277.958, 52.523, -18.161
278.325, 52.517, -18.156
278.691, 52.511, -18.150
279.057, 52.505, -18.145
279.423, 52.499, -18.140
279.789, 52.493, -18.135
